open;high;low;close;volume;timestamp;symbol;lastrefreshed;interval;timezone
2769.30;2769.80;2763.84;2767.12;0;2018-06-17 22:00:00;^SPX;2018-06-17 22:00:00;240min;US/Eastern
2767.37;2770.17;2765.67;2768.16;0;2018-06-18 02:00:00;^SPX;2018-06-18 02:00:00;240min;US/Eastern
2768.29;2768.93;2758.97;2763.74;0;2018-06-18 06:00:00;^SPX;2018-06-18 06:00:00;240min;US/Eastern
2763.50;2774.07;2756.69;2769.64;0;2018-06-18 10:00:00;^SPX;2018-06-18 10:00:00;240min;US/Eastern
2769.89;2776.21;2769.52;2774.70;0;2018-06-18 14:00:00;^SPX;2018-06-18 14:00:00;240min;US/Eastern
2774.16;2775.66;2758.53;2762.59;0;2018-06-18 18:00:00;^SPX;2018-06-18 18:00:00;240min;US/Eastern
2762.71;2763.84;2749.19;2753.51;0;2018-06-18 22:00:00;^SPX;2018-06-18 22:00:00;240min;US/Eastern
2753.76;2754.26;2732.85;2741.84;0;2018-06-19 02:00:00;^SPX;2018-06-19 02:00:00;240min;US/Eastern
2742.09;2751.05;2740.36;2748.82;0;2018-06-19 06:00:00;^SPX;2018-06-19 06:00:00;240min;US/Eastern
2748.57;2760.31;2742.81;2754.95;0;2018-06-19 10:00:00;^SPX;2018-06-19 10:00:00;240min;US/Eastern
2755.20;2765.28;2751.01;2762.44;0;2018-06-19 14:00:00;^SPX;2018-06-19 14:00:00;240min;US/Eastern
2761.70;2765.20;2759.22;2760.97;0;2018-06-19 18:00:00;^SPX;2018-06-19 18:00:00;240min;US/Eastern
2761.22;2764.97;2753.77;2764.23;0;2018-06-19 22:00:00;^SPX;2018-06-19 22:00:00;240min;US/Eastern
2763.98;2771.95;2763.98;2769.98;0;2018-06-20 02:00:00;^SPX;2018-06-20 02:00:00;240min;US/Eastern
2770.10;2772.72;2767.04;2771.04;0;2018-06-20 06:00:00;^SPX;2018-06-20 06:00:00;240min;US/Eastern
2770.79;2774.80;2763.79;2773.34;0;2018-06-20 10:00:00;^SPX;2018-06-20 10:00:00;240min;US/Eastern
2773.59;2774.14;2766.28;2767.77;0;2018-06-20 14:00:00;^SPX;2018-06-20 14:00:00;240min;US/Eastern
2767.51;2772.78;2766.27;2770.55;0;2018-06-20 18:00:00;^SPX;2018-06-20 18:00:00;240min;US/Eastern
2770.30;2781.25;2770.30;2777.07;0;2018-06-20 22:00:00;^SPX;2018-06-20 22:00:00;240min;US/Eastern
2777.31;2779.07;2764.63;2765.13;0;2018-06-21 02:00:00;^SPX;2018-06-21 02:00:00;240min;US/Eastern
2764.88;2767.85;2758.17;2764.13;0;2018-06-21 06:00:00;^SPX;2018-06-21 06:00:00;240min;US/Eastern
2763.88;2766.61;2747.39;2750.26;0;2018-06-21 10:00:00;^SPX;2018-06-21 10:00:00;240min;US/Eastern
2750.51;2758.38;2744.14;2747.86;0;2018-06-21 14:00:00;^SPX;2018-06-21 14:00:00;240min;US/Eastern
2747.27;2752.54;2746.02;2752.29;0;2018-06-21 18:00:00;^SPX;2018-06-21 18:00:00;240min;US/Eastern
2752.54;2755.81;2751.05;2755.56;0;2018-06-21 22:00:00;^SPX;2018-06-21 22:00:00;240min;US/Eastern
2755.31;2762.78;2754.32;2761.78;0;2018-06-22 02:00:00;^SPX;2018-06-22 02:00:00;240min;US/Eastern
2761.54;2765.01;2760.28;2763.27;0;2018-06-22 06:00:00;^SPX;2018-06-22 06:00:00;240min;US/Eastern
2763.52;2765.27;2754.29;2760.71;0;2018-06-22 10:00:00;^SPX;2018-06-22 10:00:00;240min;US/Eastern
2760.95;2764.21;2751.89;2753.40;0;2018-06-22 14:00:00;^SPX;2018-06-22 14:00:00;240min;US/Eastern
2753.77;2754.78;2739.57;2744.79;0;2018-06-24 18:00:00;^SPX;2018-06-24 18:00:00;240min;US/Eastern
2745.04;2746.55;2740.82;2745.59;0;2018-06-24 22:00:00;^SPX;2018-06-24 22:00:00;240min;US/Eastern
2745.84;2746.09;2738.36;2738.87;0;2018-06-25 02:00:00;^SPX;2018-06-25 02:00:00;240min;US/Eastern
2738.63;2744.60;2736.40;2742.86;0;2018-06-25 06:00:00;^SPX;2018-06-25 06:00:00;240min;US/Eastern
2742.62;2743.36;2701.65;2715.00;0;2018-06-25 10:00:00;^SPX;2018-06-25 10:00:00;240min;US/Eastern
2714.75;2722.52;2698.48;2719.12;0;2018-06-25 14:00:00;^SPX;2018-06-25 14:00:00;240min;US/Eastern
2719.13;2724.11;2715.66;2722.38;0;2018-06-25 18:00:00;^SPX;2018-06-25 18:00:00;240min;US/Eastern
2722.25;2724.37;2714.43;2721.41;0;2018-06-25 22:00:00;^SPX;2018-06-25 22:00:00;240min;US/Eastern
2721.44;2726.16;2715.47;2719.71;0;2018-06-26 02:00:00;^SPX;2018-06-26 02:00:00;240min;US/Eastern
2719.96;2722.49;2712.51;2721.74;0;2018-06-26 06:00:00;^SPX;2018-06-26 06:00:00;240min;US/Eastern
2721.50;2729.33;2715.11;2727.55;0;2018-06-26 10:00:00;^SPX;2018-06-26 10:00:00;240min;US/Eastern
2727.30;2732.80;2721.16;2721.84;0;2018-06-26 14:00:00;^SPX;2018-06-26 14:00:00;240min;US/Eastern
2724.34;2730.15;2724.16;2727.91;0;2018-06-26 18:00:00;^SPX;2018-06-26 18:00:00;240min;US/Eastern
2727.66;2729.65;2722.20;2727.22;0;2018-06-26 22:00:00;^SPX;2018-06-26 22:00:00;240min;US/Eastern
2726.97;2727.20;2703.62;2704.61;0;2018-06-27 02:00:00;^SPX;2018-06-27 02:00:00;240min;US/Eastern
2704.37;2731.55;2704.37;2726.08;0;2018-06-27 06:00:00;^SPX;2018-06-27 06:00:00;240min;US/Eastern
2726.33;2745.92;2725.19;2725.20;0;2018-06-27 10:00:00;^SPX;2018-06-27 10:00:00;240min;US/Eastern
2724.95;2727.68;2699.15;2702.88;0;2018-06-27 14:00:00;^SPX;2018-06-27 14:00:00;240min;US/Eastern
2702.77;2708.26;2700.54;2705.07;0;2018-06-27 18:00:00;^SPX;2018-06-27 18:00:00;240min;US/Eastern
2704.82;2711.29;2704.07;2710.64;0;2018-06-27 22:00:00;^SPX;2018-06-27 22:00:00;240min;US/Eastern
2710.89;2715.08;2703.39;2708.13;0;2018-06-28 02:00:00;^SPX;2018-06-28 02:00:00;240min;US/Eastern
2708.38;2713.86;2691.01;2693.01;0;2018-06-28 06:00:00;^SPX;2018-06-28 06:00:00;240min;US/Eastern
2693.25;2711.66;2691.61;2706.30;0;2018-06-28 10:00:00;^SPX;2018-06-28 10:00:00;240min;US/Eastern
2705.55;2724.12;2705.31;2718.95;0;2018-06-28 14:00:00;^SPX;2018-06-28 14:00:00;240min;US/Eastern
2718.04;2719.78;2712.87;2714.95;0;2018-06-28 18:00:00;^SPX;2018-06-28 18:00:00;240min;US/Eastern
2714.70;2726.45;2712.47;2725.21;0;2018-06-28 22:00:00;^SPX;2018-06-28 22:00:00;240min;US/Eastern
2724.96;2734.68;2721.27;2732.93;0;2018-06-29 02:00:00;^SPX;2018-06-29 02:00:00;240min;US/Eastern
2732.68;2733.18;2720.68;2724.18;0;2018-06-29 06:00:00;^SPX;2018-06-29 06:00:00;240min;US/Eastern
2724.43;2743.11;2724.18;2735.03;0;2018-06-29 10:00:00;^SPX;2018-06-29 10:00:00;240min;US/Eastern
2735.28;2739.10;2718.76;2719.01;0;2018-06-29 14:00:00;^SPX;2018-06-29 14:00:00;240min;US/Eastern
2719.00;2723.23;2710.92;2719.47;0;2018-07-01 18:00:00;^SPX;2018-07-01 18:00:00;240min;US/Eastern
2719.72;2726.18;2711.55;2714.29;0;2018-07-01 22:00:00;^SPX;2018-07-01 22:00:00;240min;US/Eastern
